executed instruction (except nop): 337

Address   Hex.       Dec.
00000400: 00000001 # 1
00000404: 00000003 # 3
00000408: 00000009 # 9
0000040C: 0000000B # 11
00000410: 00000011 # 17
00000414: 00000013 # 19
00000418: 00000019 # 25
0000041C: 0000001B # 27
00000420: 00000003 # 3
00000424: 00000009 # 9
00000428: 0000001B # 27
0000042C: 00000011 # 17
00000430: 00000013 # 19
00000434: 00000019 # 25
00000438: 0000000B # 11
0000043C: 00000001 # 1
